C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
1,10096,46,175,1,2237
0,8918,240,436,0,1535
5,5361,509,942,2,409
14,9965,343,581,3,7237
8,6342,922,504,2,8157
20,9586,977,101,4,5777
22,7821,384,493,2,69
20,528,944,704,1,7770
6,4138,2,1148,3,4945
0,9209,127,326,0,4051
1,148,910,112,2,7182
14,1907,781,929,0,6533
7,1388,792,366,3,3791
2,4750,793,288,1,1695
15,5226,96,768,1,8719
6,5736,939,534,2,1442
21,3472,313,663,0,7384
6,1698,236,939,3,8197
16,1220,658,441,4,1117
4,4348,106,482,0,3432
13,7925,241,352,3,1085
6,14,149,417,4,6756
1,10979,225,1065,1,9916
14,7703,5,45,4,8791
22,7089,81,731,0,8609
23,8163,985,160,3,3324
3,2928,427,676,1,3927
0,10431,665,210,3,819
13,10816,235,345,1,5116
9,9248,242,471,2,4450
3,6350,304,454,3,8514
5,10974,520,645,1,1100
9,1903,595,442,1,9300
20,53,497,991,1,3059
6,5257,202,697,3,985
6,908,31,783,2,5622
13,3649,580,1064,0,2291
7,3941,385,337,3,2676
3,7133,402,376,2,7745
11,4661,318,546,0,5143
9,8536,82,663,4,7961
3,6724,71,423,0,9014
21,9519,287,928,0,1134
7,9351,492,512,2,3630
20,3634,454,1093,0,2937
4,5555,185,544,0,3364
2,7019,737,405,0,5195
22,3830,951,1007,4,334
14,6205,510,495,2,7702
2,6637,528,477,3,9106
10,2621,369,282,1,4045
5,3250,737,730,1,7307
21,10670,676,100,3,3983
8,8148,437,595,4,5516
23,9243,42,122,4,8465
5,9440,180,925,0,4334
8,4257,296,376,2,140
2,7142,396,505,0,9899
14,7730,71,951,2,1395
23,5356,381,825,4,1975
0,5974,878,254,4,5568
3,9078,426,329,1,8115
11,3889,629,649,1,5678
4,6017,459,541,1,8638
1,1857,589,823,3,8920
18,8800,895,657,3,1137
10,10094,876,861,1,3581
1,6685,481,517,4,1212
7,5970,535,794,2,1121
18,291,79,986,3,6329
9,5053,309,368,3,8336
3,4572,354,419,1,1667
0,1431,52,510,3,4110
1,5784,814,178,3,9525
1,4518,758,943,1,2403
16,8031,192,665,0,6346
0,10142,182,801,2,4578
1,8171,684,558,0,3232
2,323,657,714,0,7027
8,1111,712,832,0,1799
17,5012,196,588,1,6707
11,8731,764,818,0,2952
16,1974,604,380,2,5400
2,5933,727,458,0,4044
5,9719,459,384,2,210
17,10150,26,397,4,8662
20,1838,267,366,2,4343
12,3761,414,918,3,8367
5,9215,75,189,1,6584
2,6256,48,275,2,135
15,3894,234,700,3,5864
5,2614,538,221,4,1259
11,6429,557,1065,3,7674
10,8063,243,240,1,8788
17,10969,460,752,4,6763
8,10141,492,972,0,7958
3,9619,424,295,2,1760
0,2034,683,531,4,835
8,1850,204,254,4,2226
22,4724,456,215,2,4983
16,6560,717,607,4,4647
9,2939,248,751,3,6580
2,5473,426,674,1,2281
15,4039,40,711,4,9697
15,63,577,876,0,4394
7,5411,115,1084,1,5934
11,6537,596,655,1,9580
20,9149,383,926,0,2537
0,6877,176,546,0,3749
1,9268,243,429,1,3421
22,4270,643,752,0,5087
4,10740,814,190,4,8665
0,8728,3,1127,4,5900
5,3179,5,1131,2,5118
7,10169,648,804,3,1158
24,438,271,131,4,2443
4,8561,693,789,4,3417
5,1919,910,1010,3,5354
20,3526,23,7,0,165
24,3776,174,336,4,7768
9,1867,605,371,3,2561
5,6400,952,753,0,1716
2,6984,917,978,3,6673
20,5055,915,728,1,3437
14,6357,469,507,1,2499
3,7107,790,129,0,1281
2,10289,967,898,3,3431
19,1877,969,1066,4,2272
4,1604,235,1098,0,9529
7,2478,307,1004,2,1037
0,3764,852,478,2,9084
0,8596,150,241,1,3325
9,4701,692,689,4,6532
8,5988,791,515,1,7276
21,1044,943,281,3,4547
1,3998,222,877,0,8636
5,8969,538,1008,3,3290
8,336,455,1032,2,1273
6,6249,788,402,4,7784
13,6143,361,412,0,3304
5,3501,199,798,4,7770
3,3890,264,408,3,3363
4,2372,419,476,3,9813
10,7190,248,152,4,2861
7,4083,511,407,2,8576
18,6848,672,662,2,6374
6,1740,618,618,0,5030
4,2913,750,785,0,8802
17,10395,177,624,2,5344
12,8631,518,770,4,8452
6,378,124,905,3,5621
6,5401,880,328,4,5769
4,6831,538,574,4,8759
1,337,991,296,2,3338
19,2312,435,529,1,2429
4,1666,283,809,0,7119
14,7118,126,667,2,8812
8,10414,404,652,2,3678
0,10469,307,563,1,3852
18,1861,603,681,2,5822
17,10402,214,573,0,6679
3,7774,600,1064,4,785
1,6259,67,491,0,4736
24,1291,127,723,1,9522
13,1919,5,1107,3,1434
5,7460,228,734,2,6390
11,4772,711,798,2,8137
24,3095,770,749,1,320
7,8889,972,268,3,6191
8,5332,705,1058,3,4337
4,10612,162,366,4,5693
24,4649,255,310,1,4777
9,6564,210,449,4,7344
5,49,39,874,2,3116
3,7348,890,479,0,1205
2,10960,193,323,2,6063
0,5526,53,162,2,5006
2,1168,78,526,1,9828
16,5058,692,139,2,9184
8,5486,521,277,4,4720
0,9176,372,544,2,3433
9,1433,276,878,2,2191
10,2130,318,473,4,1765
9,8569,525,219,1,5672
16,6709,774,872,1,7134
20,9614,946,1011,3,578
2,2193,926,667,4,3937
17,7977,29,1002,1,4500
14,138,603,680,1,1630
4,8226,100,246,4,327
0,9623,558,644,2,4752
4,1681,484,202,2,7200
5,9892,124,822,0,4314
17,6626,9,970,0,3321
2,1037,512,657,1,7858
5,4249,534,1029,2,3556
22,9093,620,699,3,8646
8,6427,891,673,2,6589
3,7249,811,645,2,3046
4,8000,812,370,1,442
11,248,63,910,2,9639
22,8258,811,546,3,1414
6,1146,389,960,0,2659
7,10721,802,938,1,6463
10,4582,524,859,1,6994
1,5093,444,137,3,1363
3,6426,606,268,0,65
7,4948,171,1048,0,4334
7,8577,25,533,3,4801
9,2291,528,630,2,560
5,3977,992,87,1,8816
16,6172,991,705,0,8629
18,10659,375,992,0,2916
9,4893,892,385,0,6244
11,3140,48,477,3,2912
17,8434,3,2,3,7110
16,1906,958,541,2,9764
21,8841,858,278,2,2958
9,8865,438,618,0,4565
0,9393,390,493,3,3609
19,4091,453,247,3,249
9,10666,196,712,4,609
19,5753,668,543,2,6243
7,5714,325,831,3,418
6,1411,808,164,3,1563
4,1657,677,254,2,4705
8,3889,119,976,1,9190
4,1995,688,929,2,8843
9,5128,981,566,3,8434
2,2717,35,161,1,746
8,9296,140,550,4,3744
23,10031,910,191,1,1862
2,9590,742,950,0,4489
4,2839,579,528,2,5338
6,4058,279,914,4,2690
9,9552,343,379,2,1049
4,5648,634,901,3,7020
17,10153,972,506,2,4807
3,8516,743,556,1,5579
8,6779,513,857,2,182
20,4740,422,554,0,3882
19,6005,382,594,0,6601
10,4966,813,942,2,2239
9,6216,858,203,1,2579
1,5256,244,640,2,5402
4,7507,174,774,4,2104
6,942,949,1012,2,8249
0,9279,514,420,0,7125
24,6812,140,963,3,4550
6,657,848,617,2,8449
10,2907,627,779,2,6719
5,2983,349,638,4,400
22,3826,396,537,4,4780
5,548,680,499,1,8622
0,1145,981,853,3,3797
13,2723,87,972,0,6629
11,1383,492,315,3,4217
5,739,425,920,3,5586
4,10698,427,211,2,6383
13,6898,661,622,4,9111
17,3367,491,596,1,3121
8,3139,401,162,2,158
2,5755,771,122,4,3297
2,589,28,986,3,2908
23,10617,84,354,2,1580
9,6135,739,1058,2,6893
12,5835,55,973,1,9886
2,4997,962,810,1,3318
3,1006,424,185,1,3742
0,654,346,1062,2,522
9,2243,519,200,2,8297
0,1601,111,979,0,1975
0,10749,74,543,3,6758
3,4119,694,560,2,1492
0,3861,502,271,1,8994
3,6796,454,294,0,2211
4,8249,766,995,3,9244
6,1079,732,543,4,3794
16,10121,727,490,4,2423
0,1030,375,911,3,6347
11,4910,972,212,1,877
3,958,447,813,2,3489
5,5218,999,220,3,3885
2,4599,204,277,1,8330
0,7888,234,379,4,7891
4,5003,199,893,0,5813
6,4891,321,213,2,2404
0,10499,88,1023,0,7875
8,2906,118,938,3,8915
1,270,501,478,0,5235
5,3555,476,437,0,1828
6,4800,593,731,0,2190
2,2798,150,831,4,1898
22,488,43,223,0,5846
19,2984,508,270,1,4210
6,10891,73,279,3,4642
3,7120,73,157,0,5142
8,5429,842,1048,0,3596
24,7392,908,704,4,4998
5,5898,615,800,2,5300
9,6820,700,340,4,7350
12,7226,114,398,1,1846
2,8266,377,797,1,1192
16,3484,307,743,0,9180
0,7021,927,143,3,3508
3,9589,719,627,2,4608
11,2344,165,574,2,1748
15,1915,943,1055,1,7451
20,10839,262,578,4,7846
0,3661,76,971,0,7030
6,3046,593,733,3,9481
8,1047,389,1073,2,6448
16,8911,294,290,0,7774
16,1169,171,358,0,5417
10,6203,540,1036,4,3488
8,5373,36,468,1,992
19,2984,966,545,0,3658
6,7378,803,553,2,3769
6,9941,366,751,0,2759
0,2631,883,664,4,8642
19,3259,58,161,3,7709
21,6876,897,316,3,8384
8,816,287,658,3,595
12,706,970,945,0,7289
6,5758,639,690,1,527
0,5698,392,993,3,3815
6,9528,512,884,3,518
8,684,714,756,1,6594
16,3855,273,416,0,5043
6,1488,833,860,2,3562
4,1466,138,391,0,6910
0,9272,86,675,0,2002
4,1650,948,179,3,7627
18,6232,110,833,0,87
4,143,151,287,2,7818
12,715,696,189,4,131
1,8694,614,532,3,5825
22,7972,24,82,3,7078
5,2893,150,734,2,2638
1,7335,755,331,4,8998
2,2825,73,420,3,5687
7,10260,408,529,1,6951
7,8171,145,1013,0,9847
4,7200,21,1028,2,3784
5,2643,353,173,0,9307
4,100,326,281,4,840
6,7764,843,102,1,2101
9,9870,610,778,3,7489
21,10959,558,1034,2,1372
7,9823,307,637,4,240
1,3020,864,388,1,1327
6,3688,213,395,4,320
19,8745,607,435,0,9819
4,9793,775,506,4,401
23,4835,440,813,3,9135
3,1364,989,5,1,7052
12,7757,2,787,4,9595
13,6937,395,335,4,6533
6,6397,114,1006,2,6263
6,1827,709,841,4,1639
7,4506,571,176,1,5582
5,5736,864,763,1,1764
2,7042,615,946,1,9897
14,7170,743,221,2,5472
9,4352,757,348,3,4067
22,2503,563,254,2,6236
5,7024,331,703,0,959
12,8383,942,423,1,7515
6,5002,928,790,2,546
6,2265,620,1069,3,9403
9,614,643,1011,3,6262
22,9878,466,310,2,5829
5,10415,479,370,3,2149
22,2085,373,882,0,557
3,2036,491,598,3,3908
8,1941,419,1081,3,6088
23,9112,705,443,0,9802
2,10067,282,440,3,2857
4,10511,123,179,1,2630
2,4677,380,874,4,3900
6,7677,939,278,4,5926
18,10981,309,1076,3,9174
8,2247,323,100,2,3159
24,4519,508,131,3,2686
10,8441,213,950,4,4394
12,5071,362,473,2,91
1,5327,450,768,3,4759
22,7143,177,451,2,2638
13,457,894,415,1,7568
5,2451,19,2,3,2061
17,2827,396,136,3,2672
0,10729,854,313,4,9058
14,2278,874,376,2,3962
8,6269,132,772,4,1032
19,87,27,298,2,5399
7,4673,704,247,4,2308
23,8226,719,303,1,9565
9,2451,71,933,0,6087
16,7862,39,319,3,3524
7,2176,416,342,3,6129
14,3735,934,712,3,7171
8,5625,569,124,0,8451
10,714,64,800,0,8735
3,5832,480,441,4,8723
4,5555,140,758,0,3259
14,440,421,347,2,9064
11,10468,571,208,1,4945
19,6058,943,289,2,1968
3,2024,592,710,3,8678
0,531,293,518,3,1441
3,6876,339,451,1,9062
7,2490,143,1037,1,2677
6,9026,862,156,2,2901
0,10196,411,764,0,2694
18,211,288,270,4,5420
16,9576,568,381,3,2911
23,8697,298,1026,1,2008
7,6656,67,549,3,7821
2,19,885,619,2,8071
20,8772,439,586,0,3846
23,3350,582,556,2,5291
9,861,586,1068,0,3645
0,7843,92,600,0,8654
20,6564,354,652,0,4172
6,2721,592,283,2,6520
3,9070,835,833,4,106
7,4528,448,932,4,1729
4,1696,827,824,2,3792
5,4665,758,999,2,7785
4,389,825,114,0,4236
1,3860,927,810,3,3705
0,909,179,329,3,5146
9,4613,529,583,3,8059
20,880,240,554,3,2272
8,4158,565,400,2,6322
17,6617,585,428,4,1164
8,2755,94,1094,1,8689
1,5133,95,496,0,411
8,6712,354,556,4,4364
9,9655,823,938,3,2681
10,768,325,323,2,2000
3,3664,402,474,3,537
7,4106,271,201,2,7778
12,8483,951,542,2,8689
8,319,453,843,4,6919
9,5913,354,633,3,2790
1,6,81,845,0,880
6,1992,529,937,2,6315
15,8601,834,1047,2,1475
15,3066,581,212,3,3002
11,4143,870,997,1,9951
4,7955,209,623,3,310
23,1693,424,398,3,2369
7,5926,165,163,2,1178
7,8445,974,9,0,8091
0,3381,795,494,4,9353
16,1918,927,850,1,3397
22,3360,500,597,0,8183
6,3786,457,198,3,2476
22,7117,503,830,4,7909
5,8086,253,362,1,1350
9,756,395,221,2,1035
1,8341,735,231,2,1307
8,3031,410,798,0,4908
21,8284,147,341,4,4673
0,6494,317,454,1,5723
1,8270,30,358,4,308
22,6946,962,765,0,1427
18,3745,956,1014,2,620
3,8714,370,652,1,9460
7,6552,755,268,0,7156
1,4973,905,101,4,4537
4,1540,479,1083,3,5273
8,9883,766,829,3,1822
15,840,460,428,4,6026
5,2318,756,996,4,1161
18,9329,569,654,2,1655
21,4511,527,229,0,1629
2,6410,532,811,0,9417
3,2456,596,673,1,6419
8,1464,6,45,0,2807
5,444,929,1031,2,6121
22,7202,582,281,3,1360
7,7171,97,460,1,1701
18,1333,922,993,3,9419
9,3192,24,911,2,5405
0,4563,339,479,2,6951
15,7030,83,727,1,8964
3,7234,299,836,0,9411
20,3491,202,944,4,3670
0,466,185,724,4,7525
2,3248,460,560,0,6750
3,7203,140,165,3,1321
11,3043,636,868,1,9436
16,5956,168,602,3,5624
5,9647,86,396,0,9055
4,376,474,1060,3,6197
9,9166,658,745,3,6781
2,4056,314,590,0,8862
8,6903,653,989,2,5673
8,1601,240,788,2,9087
4,6504,49,408,1,4448
8,5277,738,680,3,4681
13,7800,406,529,3,680
5,1384,906,185,1,2553
4,4941,943,821,4,7844
9,1864,265,346,1,8595
9,8334,981,625,0,2966
7,1178,377,151,1,564
8,4598,323,567,3,4453
6,886,944,153,0,5590
8,7973,343,205,2,7095
16,3870,852,818,4,5292
3,6388,148,956,1,125
6,10518,480,126,3,1466
7,3261,879,167,3,6300
24,4178,880,518,0,8565
3,10170,474,480,2,7057
3,5634,556,598,3,1711
20,8265,943,219,4,1679
6,6060,831,866,4,5101
15,6405,315,664,3,8960
4,1050,7,734,0,1684
5,8894,678,834,2,3634
0,3275,615,532,2,8928
2,5737,836,340,4,9054
3,5190,164,470,4,370
8,9007,641,789,3,3740
19,5159,217,894,4,2551
13,9630,657,576,2,7587
7,5269,132,922,4,9446
4,1356,462,376,1,3312
8,5363,38,135,2,66
3,10043,550,118,1,2857
1,7149,358,997,4,4053
7,7964,983,1142,0,1916
8,9668,303,382,4,4287
7,3988,493,233,2,3610
3,7569,61,231,3,1406
9,6203,248,405,1,7244
9,4501,427,554,1,8951
4,7170,568,766,4,7558
2,8969,925,973,1,4052
10,4646,577,667,3,2895
4,2564,715,993,1,9971
23,4185,778,985,0,5294
4,904,907,682,1,4578
17,9560,416,475,1,7845
5,9305,745,966,0,6792
2,10407,239,460,4,5881
10,3234,221,369,4,801
7,4409,29,418,1,1366
16,5656,273,544,0,9886
14,7762,868,448,0,498
4,462,90,493,4,6155
10,3019,784,323,0,3946
8,1892,434,332,0,5509
5,6386,721,300,4,2341
5,2144,645,620,1,336
7,6738,809,871,2,6884
14,6040,150,904,2,3303
0,9838,381,485,3,5395
7,7386,592,256,4,6244
4,5206,250,421,0,4726
0,6071,820,685,2,6952
2,9234,479,577,2,2063
15,9665,578,617,1,5223
22,8495,332,946,4,4776
3,941,857,1038,4,617
19,7477,199,152,2,2587
3,10967,893,715,3,2035
5,3049,421,650,2,6085
20,8774,898,456,0,3896
9,3226,924,759,2,3964
0,10547,542,133,3,2919
0,1726,416,786,2,7074
7,9551,873,479,3,6020
9,4001,123,465,2,4197
22,7481,180,563,4,2021
6,602,856,638,1,2902
2,1451,688,466,3,3986
8,4174,139,439,4,469
13,6464,563,638,2,9770
21,2243,635,566,2,373
19,3873,21,1000,1,7209
13,4039,176,294,0,6449
19,9773,733,585,3,9088
3,4151,385,320,4,2805
8,9072,819,410,1,6859
8,706,735,398,3,6371
3,7382,700,453,0,3450
8,9658,493,530,1,2244
12,9729,666,962,2,434
5,7939,444,204,2,3337
20,1085,599,729,1,546
4,4034,709,693,1,7317
13,8164,802,1036,0,8791
11,10051,263,314,1,4285
4,8006,765,910,3,5815
8,4243,66,1045,2,615
3,3903,988,823,2,9438
14,2443,766,256,2,7945
19,7953,523,346,2,9376
6,6786,942,393,1,390
7,5528,1,420,4,7289
16,1138,257,816,1,7023
5,5235,784,154,3,3585
4,5982,783,1014,0,8517
8,4229,993,78,1,3496
21,8494,827,391,2,2586
18,2775,201,349,2,3567
5,5161,493,280,4,909
14,6205,588,1060,0,7357
6,7297,893,776,4,2111
0,8783,550,855,2,5255
19,8151,784,226,1,2295
1,10905,862,1019,3,2184
22,1703,797,984,4,3498
2,3156,974,878,2,3054
4,1891,193,811,1,4562
7,1680,236,389,0,361
20,10812,261,1051,1,8564
5,3040,324,1009,4,1789
1,3447,616,380,2,5459
3,4853,6,19,0,3838
7,4462,895,969,2,1842
2,8125,330,473,1,6129
1,10827,877,207,1,33
0,2253,986,473,0,329
1,5698,628,531,3,2274
2,9393,520,1067,2,3856
8,2448,265,482,0,1856
22,6463,276,396,0,7033
2,7430,181,1035,3,7425
21,1835,984,105,1,9873
5,7152,851,699,1,8705
17,3559,225,772,3,7778
6,2630,600,357,1,3781
10,9429,389,984,3,3072
15,5246,141,1045,0,2899
7,2112,936,358,2,7192
1,10576,154,986,4,7956
1,8928,536,613,4,9346
10,8216,94,263,3,6687
13,7620,131,509,3,6217
6,5971,28,97,0,7561
8,7064,690,132,2,2557
8,1595,190,407,4,997
9,8046,748,516,4,4776
4,5926,631,876,0,1062
13,1896,167,421,1,2154
20,2776,775,521,0,4278
10,3528,450,828,4,2837
2,8810,49,578,1,311
2,760,2,83,2,1011
1,2836,496,928,0,9190
1,3719,974,1046,0,2389
8,7869,281,239,3,7073
1,2389,531,689,1,524
22,216,234,920,3,8099
8,5049,847,999,0,5194
8,6071,481,766,1,4040
8,3814,797,650,0,2300
0,6215,323,587,4,6339
7,9233,528,895,2,9138
14,5097,897,355,1,8876
8,7773,309,347,4,8496
8,2397,349,362,4,8675
5,2521,959,520,4,8843
8,4657,917,157,2,3478
6,9754,228,332,2,2798
21,7373,685,539,3,5600
6,10384,844,356,4,4410
7,6648,301,509,1,2840
4,6678,819,1032,4,2351
6,8209,560,635,1,3306
1,9007,602,298,3,8679
5,155,917,389,1,4306
7,972,591,1046,1,1882
8,221,196,986,3,2863
5,3402,173,817,1,9543
7,1937,537,1032,1,29
20,8019,84,524,4,8557
18,8776,111,495,2,7543
2,6875,978,369,3,8323
16,6308,361,496,1,6865
11,8923,47,111,2,8027
5,1342,926,860,0,3468
7,6935,194,270,4,3594
3,375,887,453,2,4977
0,8980,928,1072,0,375
19,5071,266,468,0,5635
2,5859,967,140,1,3190
8,3514,948,856,0,971
5,718,626,904,2,8144
17,1608,631,878,2,214
17,7719,104,178,0,7740
8,9982,837,1055,0,4148
3,5305,463,272,1,8111
3,5255,852,780,3,1023
1,2326,48,994,3,3522
19,2550,956,640,4,7727
7,6127,706,487,2,1607
9,8852,431,557,3,3871
23,9176,926,913,4,3528
12,6967,455,503,4,6242
8,7487,208,659,3,6314
6,7949,217,907,1,9842
3,8918,730,440,0,7815
4,3945,47,669,1,1840
9,1388,732,513,0,3787
8,3980,534,276,4,8548
7,6399,828,194,2,1078
9,4796,379,1023,3,8367
0,1979,263,511,2,6366
24,8439,803,595,2,7652
5,1845,513,609,0,1983
5,5672,175,834,3,3674
6,10508,13,149,0,2270
18,6523,605,264,1,2353
11,10710,549,630,3,5000
22,9984,47,1038,2,685
4,3226,113,469,4,9315
8,8014,519,853,2,5714
13,4914,71,742,1,4855
14,1455,269,331,1,1982
18,4674,451,152,4,1185
4,4627,778,892,4,8989
4,5570,486,341,3,9870
2,8121,920,543,1,9989
3,6254,528,165,0,4215
2,5733,685,453,2,5144
1,4559,130,892,0,7908
0,6456,381,790,2,7589
18,6462,471,823,2,7677
3,3856,832,345,0,7340
9,1450,928,1066,3,1758
2,1914,801,550,0,3343
17,2735,190,408,2,9888
10,915,48,190,4,7228
3,2152,96,515,1,2140
1,9221,998,1116,2,7469
15,9906,606,322,2,6282
9,7677,925,495,1,7825
2,6753,590,255,3,6278
9,3012,376,531,1,3960
0,451,690,807,0,5262
3,9112,584,879,3,9235
22,9133,90,997,0,1512
6,1647,357,323,4,3210
21,10081,130,1051,4,3710
13,5620,180,992,1,2379
17,9415,195,717,4,8047
9,10787,1,317,4,8670
7,5598,597,781,3,5726
5,1387,611,745,0,505
21,1981,24,133,4,3768
9,4593,544,190,2,3029
17,2269,549,574,1,4105
1,8559,977,466,2,8212
5,9402,214,187,2,2021
20,9841,759,848,2,982
20,6704,644,911,0,5274
6,9117,610,1104,0,5744
16,5385,537,291,0,9809
22,8023,890,589,3,7471
9,4264,585,889,4,7635
0,10646,295,193,0,8940
2,4853,690,411,3,4133
2,2444,724,818,3,8406
8,84,218,188,4,3916
1,6753,463,215,3,7910
21,9916,190,283,3,6332
9,9902,175,776,0,2885
0,3638,238,350,0,764
1,6818,482,849,4,1709
3,9982,165,1086,4,6779
2,913,275,322,1,8049
2,4716,832,772,0,211
9,5426,83,185,4,7012
14,2414,272,660,1,8141
2,1841,716,606,0,9146
14,3516,861,206,0,4277
6,8955,790,397,4,6647
8,5779,828,632,3,5941
6,1937,673,383,0,4655
4,5365,681,382,1,8034
21,3618,389,455,0,2481
5,1961,277,315,0,4381
3,5280,861,150,2,2375
3,6699,585,483,1,6840
7,10469,350,261,3,9868
0,9993,293,388,2,4651
5,5403,776,200,2,3856
5,9508,520,978,1,3416
0,9349,508,777,2,7207
8,469,519,655,3,64
7,7952,883,705,0,2891
7,2384,252,706,4,678
9,9310,215,1027,0,9316
20,7022,587,956,2,7018
6,8032,805,619,3,1565
8,901,273,192,0,212
3,4104,690,634,0,7660
4,4879,223,738,2,1224
1,191,598,774,0,9765
2,5202,763,955,0,1524
7,3951,208,264,0,8708
0,3407,878,697,1,9011
13,2418,199,508,1,98
2,10764,268,887,1,707
3,5230,253,614,1,3984
18,1999,281,236,4,3938
3,1494,506,898,3,7446
14,4044,47,989,4,7958
0,5909,330,885,1,573
14,9543,891,1005,3,2565
3,1190,941,671,4,943
5,462,495,547,2,4173
6,1667,874,615,2,3432
24,10830,514,637,3,1131
0,9437,417,930,0,5166
7,10743,802,883,3,9367
1,4736,105,875,0,1233
1,8453,931,465,1,3741
11,10375,569,378,0,755
0,1239,769,250,3,2580
23,3242,150,207,4,9819
4,6335,69,173,4,7559
0,3352,147,253,3,7214
9,3768,981,960,3,8753
4,5422,899,968,2,9786
12,3157,172,371,1,3128
4,10469,9,768,2,7434
20,1851,65,723,3,3645
22,1728,901,134,3,5613
8,9333,138,753,1,2036
5,10140,306,360,4,2015
4,7085,586,546,0,2654
7,5571,551,424,0,8302
3,3584,795,664,3,5044
2,4229,783,486,1,6286
16,3968,860,300,0,1610
