C_NATIONKEY,C_ACCTBAL,CORR1,CORR2,C_MKTSEGMENT,C_PHONE
16,9597,872,117,2,557
18,4487,26,441,0,4975
6,495,714,5,0,7469
15,10463,57,542,0,7052
4,10890,265,1044,1,9534
13,8743,446,785,3,8226
5,4036,191,954,2,139
13,6740,451,734,0,2037
9,10267,23,275,2,9473
15,5599,325,252,0,6548
8,2885,815,325,3,1200
24,10346,709,901,3,4131
16,2234,1030,584,3,5973
15,5424,562,554,0,9569
21,10205,605,185,0,7294
4,299,520,464,2,3208
6,7491,1099,96,2,5704
13,8243,91,127,4,6501
5,1019,425,733,1,4428
2,5391,204,756,0,412
11,9643,696,791,2,7388
16,121,762,1029,4,6210
0,9532,322,642,4,4610
23,2620,98,853,0,647
4,7134,502,47,0,3565
14,56,533,1085,4,5284
23,756,809,408,1,8507
23,4983,524,933,4,7623
7,6410,495,201,3,545
6,10716,521,171,1,5828
5,1114,253,162,3,594
10,7851,359,903,2,6679
20,3447,70,447,4,3099
5,1486,832,952,2,2606
17,1651,1053,729,3,2248
8,1481,165,937,2,9583
13,9338,1071,517,0,2130
17,3715,816,1050,4,6140
9,10519,597,917,3,5309
7,1607,25,577,1,6491
5,2911,61,647,4,4781
23,5772,118,509,4,1863
5,3363,631,180,2,3157
9,9459,506,225,4,8942
1,10967,722,2,4,353
6,3235,408,346,3,2579
4,7039,385,551,1,415
4,9986,498,774,1,8165
10,2664,782,315,3,8018
5,5123,207,490,1,5927
5,8812,332,995,4,2184
9,8043,582,417,4,3223
3,3212,573,225,0,2661
4,5778,910,1057,1,4560
7,10270,647,650,3,8064
16,7956,744,940,4,4054
11,6391,529,559,2,8688
11,5907,984,834,1,6524
8,10259,932,171,0,16
16,7713,400,481,0,7845
5,9132,295,288,1,6163
21,5322,756,276,2,8821
2,2934,612,641,4,4493
17,2603,347,1006,2,4964
15,7830,858,951,2,6382
15,8336,764,1060,2,8479
18,86,227,439,1,1781
7,3900,206,519,3,4058
18,846,605,610,3,588
8,7532,563,179,3,4702
4,10882,371,547,3,1803
8,378,334,102,1,1977
7,5899,961,441,2,4400
0,6024,593,548,3,5050
1,7069,1076,409,1,134
24,3766,472,526,2,1759
3,7808,726,778,0,1755
11,3209,633,199,3,2175
15,10873,315,466,4,5705
3,4356,795,694,1,7439
21,8924,423,876,4,8002
11,4624,1017,622,2,738
8,4905,100,121,1,9701
0,7623,349,452,1,4785
1,1224,880,960,2,5453
8,9961,395,347,3,1070
3,1924,391,62,2,9001
15,6297,662,404,0,1211
23,6130,287,548,0,4826
3,4422,662,965,0,5846
12,6244,971,386,2,4635
4,8899,204,903,2,6576
1,628,1068,155,1,3896
3,9863,767,618,1,1745
13,4337,322,414,2,9882
6,3602,425,509,4,5979
14,3979,149,892,1,8727
10,746,650,292,0,5841
8,2547,1002,999,0,6826
11,6780,658,368,2,5376
4,33,1004,152,1,8167
23,5212,1092,947,3,3272
4,9163,407,169,3,6423
1,10529,349,797,3,5273
13,6,478,766,2,1770
6,7108,1011,820,1,630
23,2972,876,992,3,9046
5,8056,975,45,3,8768
12,1453,502,542,4,3932
11,2933,413,347,1,214
13,9972,1089,1042,3,2270
10,6045,696,542,1,4632
9,1572,670,672,1,7039
2,10119,1021,1059,3,3704
22,9474,761,784,2,1322
2,2911,515,187,4,7153
2,7167,532,545,4,7845
12,3856,739,537,2,8697
4,8885,56,39,0,6029
14,6178,630,790,2,1154
3,9710,594,910,3,7638
9,658,493,571,1,6395
7,10317,412,685,0,2857
23,9549,151,592,1,3170
23,2954,503,810,0,4105
5,2362,583,458,4,5169
16,5120,874,85,2,368
9,2928,797,533,0,5993
0,5332,428,16,1,5930
18,10603,145,610,1,7568
21,3981,186,632,3,4845
7,5603,721,290,4,880
2,717,724,864,4,1996
14,2429,775,1040,2,7070
13,3549,657,281,4,6087
7,10755,817,774,4,1321
3,7013,954,253,2,8100
8,9560,265,994,0,6015
13,4467,805,1142,0,2704
6,516,598,925,3,7145
1,5489,609,371,2,3970
9,287,460,181,3,3928
9,2364,68,241,3,2469
12,5500,833,859,0,681
0,7118,244,851,3,8708
18,2456,791,332,3,1849
8,8277,978,536,0,1870
5,4750,439,570,2,8911
13,4360,759,88,4,5560
3,270,674,341,4,2315
7,10325,520,810,4,6798
19,4617,538,671,1,5534
23,2388,880,375,4,574
15,101,371,631,4,5179
4,2001,265,154,4,6545
9,4003,824,1071,2,7745
14,8329,916,498,3,9772
7,7104,1062,529,1,9993
23,4800,822,1142,0,5300
7,4629,201,757,1,2210
17,7503,723,823,0,6896
10,7322,647,396,2,1079
6,6071,60,1080,3,2381
8,6219,299,525,3,5645
9,10212,646,1060,2,7832
18,10583,366,404,4,2794
8,9441,71,344,1,7152
18,8320,444,919,3,559
13,9754,899,244,3,3847
20,6073,659,837,4,5497
14,10246,135,255,2,4134
5,3485,359,811,2,8459
11,5555,238,950,1,9550
23,1008,156,824,0,2721
9,3825,462,453,0,8683
4,4641,717,20,0,3820
0,360,402,115,4,5171
21,9715,262,819,4,2785
19,9293,1021,80,2,9397
14,4394,983,547,2,6304
9,10946,862,909,3,4651
1,4444,894,602,0,6565
9,4044,241,610,2,5267
4,3726,64,584,1,789
4,8001,469,158,2,1244
2,7383,795,1115,3,7145
22,3387,21,732,1,3171
4,10879,1007,1050,2,1073
15,1780,194,553,2,9451
18,8483,746,329,1,1659
24,2019,845,334,4,6232
3,5881,182,212,2,2734
9,924,775,1017,4,5284
3,2738,326,747,4,91
8,5532,812,575,3,409
7,1136,748,445,2,5186
2,5346,1007,912,3,7820
3,4537,156,1107,4,7393
3,8209,350,490,0,6847
8,2012,74,750,1,517
7,1620,467,435,3,8439
20,10974,668,352,1,9685
7,5308,614,430,2,6229
1,2984,121,983,1,9220
5,1665,162,609,0,3325
7,5050,221,907,0,4827
19,3333,143,593,2,4198
7,9323,182,207,2,1282
7,5240,804,33,1,5635
21,6609,1027,654,4,1297
4,6178,333,698,2,6694
5,2178,609,217,3,7698
7,10590,548,417,3,5795
22,4671,24,56,3,944
0,1659,951,663,2,9703
12,8291,194,490,0,1013
5,1465,317,301,2,7547
4,30,8,346,0,9388
3,2930,159,258,3,4984
10,9445,167,800,4,7973
6,4153,898,12,3,5921
19,4769,363,1078,0,6761
1,8079,205,890,2,3812
1,9282,940,707,4,15
0,2185,576,231,2,1661
13,2775,448,26,4,9582
0,8518,86,861,1,7526
6,8505,220,1008,0,2247
7,8576,1045,907,4,8586
7,7108,13,1049,3,4027
22,1754,761,688,0,5944
22,1670,246,15,0,3348
23,6479,502,49,3,8023
20,7500,635,1019,4,765
6,9866,363,333,2,4599
17,1851,459,1014,1,1787
10,6090,640,458,4,1604
7,9821,294,190,2,3827
4,5467,436,816,3,7748
22,5307,805,150,4,3594
7,4218,1035,1078,4,9589
10,5397,79,430,1,2047
21,5058,901,182,1,2143
4,7921,112,1126,1,5950
3,7356,449,570,4,271
10,8953,515,231,0,3226
9,581,213,372,1,7299
9,4315,225,888,2,2019
1,3442,161,165,4,3826
1,8934,774,587,0,4796
21,2496,431,392,3,3983
9,10301,739,620,1,1074
13,7841,829,396,2,8609
14,542,264,724,1,7471
16,4501,425,922,0,6355
20,91,612,311,4,8196
13,10338,126,441,2,9413
19,5536,376,954,1,451
18,6927,767,670,1,2085
13,5650,52,507,3,9102
9,5523,544,183,3,3867
24,10547,416,872,4,8959
8,6766,645,284,2,691
5,8692,1034,281,4,3057
3,4096,992,982,2,562
8,5593,966,398,0,8744
8,8723,505,771,4,1883
6,755,513,344,3,421
2,2405,153,992,1,8532
9,2645,20,126,1,436
13,1021,486,681,2,8601
7,4364,586,1104,1,2097
6,8961,557,156,3,6526
0,686,251,37,0,4318
10,5828,851,331,3,7574
16,3706,10,656,0,2125
21,4964,440,32,0,8217
2,10357,548,974,4,9107
3,6928,1091,594,4,6976
17,2389,175,298,0,5944
2,9978,1093,606,2,2464
24,4813,231,863,2,913
10,3405,899,154,4,3465
8,9183,890,443,4,5112
19,1293,990,912,4,2388
12,363,256,1120,4,9456
21,2717,1085,1144,1,8335
22,10561,567,76,4,5297
22,9158,478,47,3,7530
6,8693,1087,155,2,5576
22,420,692,744,1,1929
5,9855,382,1060,4,7939
6,9526,557,450,3,4971
2,10712,564,907,1,987
9,8151,170,556,0,1736
8,7736,14,732,1,3504
3,6116,649,1021,3,1423
21,189,614,732,1,7853
5,9674,460,823,1,2551
5,562,910,854,1,4133
1,8240,867,782,0,5731
3,7179,516,755,1,2324
14,1961,436,70,4,6804
23,2402,915,835,4,5421
16,415,670,789,3,8341
8,8840,49,177,1,9422
4,3911,1056,897,2,7448
2,10773,143,855,3,4782
1,4031,457,652,4,7463
15,5111,334,843,3,2963
2,3289,725,1136,2,695
7,5234,837,155,4,5154
4,2336,565,684,3,4071
7,7119,278,799,2,3004
6,4052,1058,385,2,2190
0,9977,687,683,2,5388
21,7163,312,830,2,7567
2,6138,593,1116,1,581
4,7301,203,1073,1,697
16,6186,26,44,0,2990
6,10836,893,992,0,2859
8,2869,443,730,2,3166
18,6265,395,132,2,1599
15,8580,801,709,3,8662
3,10659,429,930,1,3514
14,6231,431,591,0,1201
24,3200,132,658,3,4995
23,4817,943,1102,4,3650
0,949,365,730,0,8531
16,350,808,1054,0,2434
2,12,233,1059,3,907
0,8702,563,64,2,6156
3,1300,381,677,2,9364
17,7705,893,209,0,7883
2,8045,807,712,1,923
9,666,87,30,4,9387
23,3301,224,236,1,7575
7,9754,981,56,0,1912
14,2471,360,340,2,6033
21,235,21,527,4,5519
0,6361,10,775,1,4627
22,5060,982,293,4,6155
11,3098,129,487,1,4270
18,775,962,597,4,3284
2,10653,1013,1003,4,9515
0,2516,114,947,2,9760
15,7611,1068,301,4,1059
8,6063,563,683,3,2304
0,1635,670,855,1,4267
7,3496,764,382,2,8828
0,8615,658,819,1,948
13,8882,878,857,3,9795
8,599,1086,294,4,3851
16,8297,227,515,2,4660
11,6810,470,335,0,2744
9,7569,34,355,0,2971
13,3547,169,301,4,4453
7,5560,597,89,4,5041
9,6061,76,234,0,4976
12,3368,984,483,3,7823
4,7002,430,958,3,8463
7,422,231,618,0,7552
21,1739,460,742,1,6907
4,8093,173,590,4,5076
7,5427,941,533,3,3700
4,539,14,812,1,8871
11,8497,446,244,2,9964
1,1037,1037,179,1,2694
11,5583,283,421,2,6530
3,10455,680,964,2,789
11,10194,159,121,2,1
5,2160,960,634,3,6572
11,4909,642,873,4,8090
10,7725,396,183,2,4837
18,1067,173,1023,1,3287
19,6059,683,533,0,3880
21,8345,809,62,0,8345
0,10829,912,139,2,413
0,8516,325,255,3,1179
20,4069,370,239,3,7558
4,9083,83,598,1,615
24,5017,1030,845,4,1487
9,3658,1076,723,4,8178
8,5262,520,508,4,2711
22,10845,208,304,4,2296
0,9333,464,816,1,296
18,5987,385,247,2,4217
13,6720,988,947,0,9299
9,4011,719,217,1,4070
9,1443,919,541,4,1651
2,2601,304,1059,4,234
5,10142,904,377,3,2267
23,6359,604,770,4,8968
0,6160,282,911,4,6907
4,6086,615,547,2,8780
14,2029,624,379,3,1963
21,6103,305,847,0,3177
23,9515,630,634,0,8208
6,3895,363,953,4,3321
5,6098,296,48,2,8844
9,1548,413,328,1,5350
6,8600,1013,897,4,2034
1,8247,595,319,0,6616
9,5475,220,50,3,7616
4,9429,117,985,1,5029
11,8979,643,1140,1,1203
20,1621,1075,459,0,3692
2,3507,436,71,0,2076
21,8777,740,1040,0,1154
6,8739,827,1033,4,3595
9,6268,767,1012,0,8254
5,8356,549,495,4,5177
0,10282,297,205,4,2403
21,6138,1048,1102,1,7517
7,3343,317,38,1,6403
17,2295,86,605,0,9035
3,4863,9,905,4,1116
6,1202,817,655,1,3284
0,10370,128,141,0,8484
24,5081,159,422,2,3667
3,10690,588,403,3,3509
23,51,812,380,2,5874
13,6236,704,1134,0,3229
9,9808,442,225,2,5320
7,2590,447,857,4,7434
8,9979,537,295,2,5594
10,9329,382,740,3,7978
3,5031,240,5,4,3498
17,4401,523,1094,3,117
6,6734,842,661,1,4636
8,7699,102,366,4,2775
5,10783,584,670,4,4978
5,8722,110,209,0,7334
1,10223,95,74,2,6514
10,5139,1006,876,1,3263
9,5018,1058,1010,2,4631
16,1214,976,498,0,6606
16,7177,627,583,3,3002
2,2658,726,929,4,8673
7,2161,417,253,0,8198
3,1173,125,543,2,6267
6,10404,998,774,0,7607
23,6527,409,426,4,7144
0,250,87,819,3,9309
0,7409,326,274,4,4916
9,3015,901,678,1,7438
17,1920,1023,530,4,314
13,723,600,1056,2,6077
8,3220,369,339,4,8313
3,503,246,683,0,6023
16,269,996,765,0,4544
23,2419,461,532,4,2024
19,9522,766,786,1,452
4,519,825,192,1,7959
3,4762,593,787,1,6660
10,2043,68,983,2,3890
6,7906,209,677,3,5002
16,1375,702,82,1,2488
0,1243,199,838,3,942
10,6341,142,107,3,1938
3,4755,608,723,4,3694
5,5037,447,1059,2,581
1,2711,667,174,0,1586
3,7368,156,150,1,3095
24,5217,459,172,0,3727
1,10760,680,370,1,5593
24,957,137,1047,2,6240
12,10544,563,763,0,4341
2,3123,744,697,1,7973
12,468,242,69,2,6554
2,4054,992,339,1,4247
14,556,1085,1081,0,9422
7,10090,358,652,0,9016
4,9074,691,736,1,6160
5,7306,598,142,2,4073
21,1101,1023,476,3,352
3,263,284,165,2,3260
16,1795,187,861,4,4749
13,6582,416,266,3,7950
13,1687,115,392,1,5693
5,9800,195,1048,3,5074
11,5750,16,771,3,7976
9,2925,801,862,2,3431
0,9159,428,718,4,8418
2,3478,148,500,1,395
6,1945,504,432,3,1421
5,2220,831,1034,2,6898
8,2739,259,951,2,7861
23,1560,249,729,0,2647
5,5830,962,749,3,6769
2,4646,459,393,4,2051
13,6250,814,264,2,135
6,4401,10,203,1,4592
8,8544,789,1105,0,3496
1,5677,248,769,0,7892
6,1520,1075,756,1,9230
5,9395,1055,218,0,3522
2,7171,660,982,1,3098
1,9515,240,1040,0,8149
11,2864,776,487,1,7444
24,7084,454,602,3,5626
5,110,731,606,2,69
21,4893,1057,184,2,8365
4,10028,387,274,4,2854
14,6886,649,690,3,8366
11,434,903,825,3,2130
10,3549,1061,360,1,7353
7,1436,206,1008,2,2439
2,7231,1032,542,1,750
1,10860,980,170,0,2123
23,629,504,1144,3,6427
11,4367,621,439,3,8184
2,8702,41,379,4,2412
14,1556,1023,355,4,9293
5,573,706,119,4,8843
4,4306,587,408,1,7743
6,2681,434,1122,1,7716
23,4722,995,271,0,4406
1,8761,693,639,2,1922
11,5839,465,1083,4,4450
1,8276,674,43,3,6208
18,2652,140,400,2,1567
8,2336,865,646,1,4464
23,6413,464,226,3,9882
19,2039,101,533,4,5565
18,1005,208,1112,4,7915
0,2411,998,677,4,7650
4,536,189,449,4,8826
6,10065,22,131,0,8206
21,716,1084,945,2,4239
16,10573,131,378,4,8225
14,6930,350,82,3,230
12,3541,214,564,0,4356
19,5820,988,558,2,5091
19,9720,159,311,2,3428
4,3629,37,306,2,1975
1,10092,315,746,0,5286
7,10448,1076,222,3,986
17,8560,764,859,3,7946
0,6789,685,430,0,6995
5,3080,86,497,3,2024
8,2440,389,31,1,3619
15,3760,404,789,4,8782
11,6528,528,65,2,8410
0,4046,39,187,3,8613
7,2755,985,442,3,1694
13,7566,597,636,2,3759
8,10837,742,829,1,720
7,8615,968,754,1,8798
6,9734,1062,275,1,3871
17,8614,520,962,0,9947
7,2747,718,981,3,3698
14,5,23,979,3,4749
20,2345,1098,686,3,2436
9,3205,845,135,1,3682
0,9494,644,105,4,6861
0,1579,109,244,4,8184
1,5444,337,936,0,6002
3,9592,936,943,4,8401
2,1890,354,488,1,5270
8,999,1011,146,0,7566
17,3777,912,219,2,8688
1,8411,213,1086,4,1206
23,4744,100,827,4,8245
4,2746,44,82,0,1387
9,8362,553,610,0,8922
3,10493,543,561,0,5827
0,9923,672,429,1,1755
5,1685,663,581,0,843
0,9843,362,577,2,6932
23,7221,1091,369,4,255
23,5112,1098,107,4,6671
7,7032,279,283,1,7355
8,6600,843,1093,1,9723
13,6887,268,531,1,7669
2,7413,375,670,3,241
3,4467,706,162,2,9941
4,10412,745,975,1,2520
9,3575,378,1130,1,903
22,1344,383,569,2,5786
2,2527,933,677,1,1249
7,8669,868,1033,2,5085
11,5545,541,720,4,1590
1,7342,601,794,2,3505
7,7896,809,841,0,4463
23,9338,426,526,3,1453
11,9611,455,959,1,1305
1,9981,516,228,2,7053
2,10659,529,761,3,8411
6,693,194,908,1,1455
10,8401,84,599,4,9106
2,677,965,1012,1,9687
24,2223,752,643,2,2572
4,20,816,425,0,8024
3,5573,785,227,4,3993
6,10467,265,728,3,8960
15,3409,1092,443,0,1203
5,5118,1071,95,1,8253
7,1992,182,884,3,8610
3,4752,561,759,2,9620
18,6947,668,1019,3,2164
15,966,706,915,2,8981
3,9684,251,947,4,1615
9,3746,875,894,1,2757
4,4800,175,300,0,7478
20,5653,577,40,2,3210
9,4512,892,88,4,7188
1,2310,13,1115,1,789
1,6049,1096,950,4,6965
16,1404,584,313,4,9484
2,3105,909,1106,2,3008
1,8653,752,874,4,7816
14,5342,81,12,1,6660
5,5047,696,190,1,9488
0,4780,532,716,4,126
24,10778,667,382,3,7627
2,643,433,361,3,1899
15,7265,948,991,3,7918
10,8159,44,417,2,2870
1,6136,743,781,3,5384
4,7656,159,43,4,8406
9,8499,314,1014,3,8070
16,1303,902,1138,4,3839
5,6142,1055,123,3,6342
4,8533,687,520,4,4531
20,4087,426,791,1,6786
1,3867,393,956,2,6453
0,4017,571,429,1,9469
9,6136,805,26,2,1640
14,864,430,1146,4,2520
5,4215,631,11,1,3730
4,1673,78,385,0,9746
6,10269,810,913,2,9238
21,2012,1024,339,0,3093
9,2558,457,626,3,9429
5,8077,490,378,1,4860
2,8472,17,996,4,8267
0,7565,542,896,2,167
12,3065,670,458,2,269
6,1880,445,640,0,6638
15,7124,863,815,2,1505
20,5617,107,236,0,8533
14,9194,615,182,0,8961
18,7054,1051,960,4,2831
3,4793,635,0,0,7090
24,1339,62,890,1,5840
14,5638,780,575,2,6609
1,1816,834,275,2,4599
14,2932,488,984,2,643
8,9763,572,777,2,8132
16,2207,318,901,4,1516
15,2493,469,749,2,2174
9,2958,1070,675,1,1283
1,7971,158,759,2,418
9,10575,888,835,3,2768
7,5371,517,561,3,1201
7,4284,462,1100,2,3424
4,149,542,981,3,2307
0,9252,634,562,3,43
1,10876,1018,477,3,2688
24,3153,1033,435,0,4728
1,892,248,1029,1,8730
24,2926,472,700,0,8287
5,4798,858,604,4,1409
16,1503,800,743,0,1131
3,7931,595,602,2,804
8,10167,585,1112,1,6920
0,4159,667,78,1,6651
20,5372,464,493,0,8746
10,10416,364,483,0,4253
17,7764,10,656,1,5984
17,10690,183,476,2,7758
17,2621,1031,81,4,5989
3,1854,544,31,1,4543
2,957,44,695,1,1732
17,7169,492,222,0,7113
15,2053,1050,264,4,7114
1,4198,550,943,2,5661
4,4746,701,1125,3,324
16,7157,850,830,1,242
6,6775,442,182,1,4914
10,5362,591,488,1,9796
9,3857,467,1124,4,8492
6,5866,271,876,1,3802
5,8400,748,908,1,5815
16,5048,868,709,1,4419
1,8846,199,1080,3,4174
1,5195,481,950,3,4998
13,1625,1072,1137,3,3168
3,6445,415,640,3,2491
16,6061,889,865,4,1906
7,6244,940,985,4,7738
12,9998,993,204,2,9442
6,3752,967,395,1,261
9,4736,78,884,1,710
0,9320,843,660,3,6628
22,9740,37,614,1,7479
22,8001,152,732,4,132
4,1764,863,878,4,79
9,5752,464,1081,0,2445
19,4052,981,1073,0,2205
4,10232,916,410,3,7401
23,4068,925,588,2,4609
5,7858,581,146,3,1082
4,5181,346,264,2,2312
22,1529,191,108,0,9038
23,3793,420,551,0,8688
20,5618,257,233,1,5081
18,9729,77,1057,2,6000
21,795,428,583,2,3204
4,866,1072,738,3,4628
24,1825,2,418,3,8235
13,2877,149,99,3,2939
8,7372,1086,678,0,3699
9,10265,766,146,4,5192
7,5074,600,1046,1,1836
14,4333,969,1052,3,582
12,1145,996,786,1,8575
5,4789,143,358,2,6249
6,5861,673,134,0,3580
17,2,768,1090,1,1837
6,1605,465,662,2,2393
3,386,596,242,4,1980
8,2242,344,941,0,6673
14,10214,938,966,2,5010
17,246,115,776,3,6665
10,7287,704,1054,1,335
15,9870,766,578,0,5554
24,4297,413,311,3,2537
6,3030,853,489,2,6599
23,7843,502,920,0,3521
2,7988,56,543,1,5280
11,8284,1020,79,2,6463
5,8494,1051,346,4,4867
12,1104,592,447,2,8089
18,1863,670,444,1,4502
2,6424,322,482,0,1241
12,8440,1006,846,2,6684
24,5346,154,172,1,2148
6,3233,991,1019,2,5124
6,5996,735,432,2,6350
16,6877,643,137,4,2502
7,3269,890,735,2,4925
